Date,Temperature °C,,,,Relative Humidity (%),,Evaporation (mm),Rainfall (mm),Wind speed (Km/hr),Wind direction,Sun shine (hr/day,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Soil Thermometer °C,,,,
,Max,Min,Wet,Dry,,,,,,,,5,10,15,20,30
,,,,,,,,,,,,cm,Cm,Cm,cm,Cm
,,,,,7.22 hrs.,14.22 hrs.,,,,,,,,,,
01.01.2023,29.4,18.6,,,88.7,58.2,5,0,5.2,N-W,5.2,,,,,
02.01.2023,30.1,18.8,,,89.9,57.5,5.6,0,4.68,N-E,6,,,,,
03.01.2023,29.6,19.2,,,90.6,62.1,4.8,0,4.2,N-E,5.3,,,,,
04.01.2023,28.9,19.4,,,89.1,60.3,4.2,0,6.4,N-E,4,,,,,
05.01.2023,29.3,19.2,,,90.2,66.1,6.5,0,5,S-E,7.2,,,,,
06.01.2023,29,18.8,,,88.3,61.4,6.3,0,4.35,N-W,7.2,,,,,
07.01.2023,29.2,18.3,,,89.8,64.6,5,0,7.12,N-E,6.5,,,,,
08.01.2023,28.9,19.2,,,85.8,57.7,4.8,0,6.72,N-E,6,,,,,
09.01.2023,29.5,16.1,,,90.8,55.1,5.2,0,4.8,N-E,6.1,,,,,
10.01.2023,28.2,15.3,,,88.6,55,6.8,0,5.3,N-E,8.3,,,,,
11.01.2023,28.5,15.1,,,90.7,50.3,6.5,0,4.6,N-E,8.2,,,,,
12.01.2023,29.1,15.1,,,85.8,40.5,3.6,0,4.12,S-W,4.3,,,,,
13.01.2023,29.9,15.1,,,90,56.3,5.4,0,5.34,N-E,7,,,,,
14.01.2023,28.9,15.2,,,86.8,50.4,4,0,5.02,N-E,5.2,,,,,
15.01.2023,30.1,14.9,,,87.4,47.3,5.5,0,4.29,E,6,,,,,
16.01.2023,29.3,14.8,,,90.8,56.6,50,0,4.62,N-E,6.2,,,,,
17.01.2023,29.1,14.8,,,89.9,54.9,3.8,0,3.86,N-E,4.2,,,,,
18.01.2023,28.6,15.8,,,90.2,57.4,6,0,5.54,N-E,8.3,,,,,
19.01.2023,28.3,15.7,,,89.7,54.5,5,0,4.78,N-E,5.4,,,,,
20.01.2023,28.7,16.4,,,88.7,65.1,7.2,0,4.2,N-E,9,,,,,
21.01.2023,27.6,17.8,,,85.4,58.8,6.4,0,6.08,N-E,8.5,,,,,
22.01.2023,29.3,18.1,,,90.1,54.9,6.5,0,4.73,N-E,8.3,,,,,
23.01.2023,29.1,18,,,87.3,64.1,5.6,0,4.47,S-W,7,,,,,
24.01.2023,28.7,19.1,,,87.7,57.7,4,0,4.22,S-E,5.4,,,,,
25.01.2023,29.8,15.6,,,89,57.4,4,0,4.64,N-E,6,,,,,
26.01.2023,29.3,15.6,,,84.1,58.3,4.2,0,5.35,N-E,6.3,,,,,
27.01.2023,29.9,16.2,,,85.1,55.2,5,0,5.57,N-E,6,,,,,
28.01.2023,29.7,15.7,,,89.1,57.3,4.5,0,4.3,E,5.5,,,,,
29.01.2023,29.4,16.6,,,90.6,58.5,4,0,4.42,N-E,4.3,,,,,
30.01.2023,29.6,17.3,,,89.7,52.4,4.7,0,4.68,N-W,5,,,,,
31.01.2023,29.7,16.4,,,88.4,48.8,6.5,0,5.14,N-E,8.3,,,,,
01.02.2023,30.2,19.7,,,84.6,36.3,5,0,5.47,N-E,8.4,,,,,
02.02.2023,31,20.2,,,89.2,50.9,5.8,0,6.3,N-E,8.2,,,,,
03.02.2023,29.6,19.9,,,91.3,62,6,0,5.32,N-E,7.4,,,,,
04.02.2023,30.4,18.5,,,93.5,56.1,5,0,5.46,N-E,7,,,,,
05.02.2023,30.8,18.5,,,92.5,52.3,5.2,0,5.84,S-E,7.2,,,,,
06.02.2023,31.2,16.8,,,92.2,48.4,5.6,0,6,N-E,9,,,,,
07.02.2023,31.2,17.6,,,89.4,40.9,5,0,4.6,E,6.3,,,,,
08.02.2023,32.7,18.6,,,90.8,49.6,4.8,0,5.26,N-E,9.3,,,,,
09.02.2023,31.4,17.6,,,88.7,49.2,5,0,5,N-E,9,,,,,
10.02.2023,31.3,17.6,,,92,36.9,5.6,0,6.1,N-E,8.3,,,,,
11.02.2023,33.1,15.9,,,87.9,39.6,6.4,0,5.42,N-E,10.3,,,,,
12.02.2023,31.3,16.6,,,85.9,28.7,6,0,7.5,N-E,9.2,,,,,
13.02.2023,33.3,16.2,,,80.8,27.4,4.6,0,6.1,N-E,9,,,,,
14.02.2023,33.3,15.5,,,89.6,32.9,5,0,5.61,S-W,8.3,,,,,
15.02.2023,32.6,16.6,,,86.9,39.4,4.8,0,5.23,E,8.3,,,,,
16.02.2023,32.7,16.4,,,91.3,48.7,5,0,5.62,N-E,9.4,,,,,
17.02.2023,31.1,16.6,,,88.3,52.2,5.4,0,6.25,N-E,9.3,,,,,
18.02.2023,31.3,15.9,,,90.4,42.6,4,0,4.92,S-E,9,,,,,
19.02.2023,31.4,16.2,,,89.4,49.3,4.6,0,6.12,N-E,8.4,,,,,
20.02.2023,31.6,18.7,,,87.3,38.6,5.2,0,6,N-E,8,,,,,
21.02.2023,32.6,16.3,,,83.6,38.3,5,0,5.78,N-E,8.1,,,,,
22.02.2023,33.3,17.4,,,86.4,37.7,4,0,5.26,N-E,9.3,,,,,
23.02.2023,32.8,15.9,,,85.1,43.4,5.4,0,4.36,N-E,9,,,,,
24.02.2023,32.3,16.9,,,91.4,41,5,0,6.25,S-W,7.4,,,,,
25.02.2023,32.6,16.9,,,91.8,29.9,4.6,0,5.18,N-E,8,,,,,
26.02.2023,34.2,16.1,,,80.1,45.6,5.8,0,5.78,N-E,8.3,,,,,
27.02.2023,32.2,16.8,,,89.6,30.2,5,0,6.27,N-E,8,,,,,
28.02.2023,32.7,17.2,,,91.5,55.2,6,0,5.12,N-E,8.4,,,,,
01.03.2023,34.2,18.2,,,88,42.1,6,0,5.42,N-E,7.3,,,,,
02.03.2023,33.1,17.2,,,90.4,40.6,5,0,6.15,N-E,7,,,,,
03.03.2023,32.1,15.3,,,72.1,42.1,5.6,0,5.62,N-E,8.4,,,,,
04.03.2023,32.4,14.3,,,78.1,40.2,6,0,5.84,N-E,9,,,,,
05.03.2023,33.1,15.3,,,83.6,43.5,5.8,0,4.96,N-E,6.3,,,,,
06.03.2023,32.9,16.4,,,84.7,44,5.4,0,5,N-E,6.3,,,,,
07.03.2023,32.5,15.8,,,89.4,46.9,5,0,5.25,S-E,7.2,,,,,
08.03.2023,31.8,17.3,,,90.6,36.7,5,0,6.2,E,8,,,,,
09.03.2023,32.9,18.6,,,88.4,56,5.6,0,6,N-E,8.3,,,,,
10.03.2023,31.3,19.2,,,92.5,51.2,6,0,4.88,N-E,8,,,,,
11.03.2023,31.7,18.4,,,89.9,48.6,5.8,0,5.27,S-E,7.3,,,,,
12.03.2023,32.1,18.4,,,91.3,48.6,5,0,4.65,N-E,6,,,,,
13.03.2023,33,19.9,,,89.3,36.2,5..0,0,6.14,N-E,8.2,,,,,
14.03.2023,33.4,19.2,,,90,34.5,5.6,0,5.2,N-E,6.3,,,,,
15.03.2023,34.2,20.4,,,88,28.3,6,0,6.04,N-E,7,,,,,
16.03.2023,32.8,20.6,,,85,25.1,5.2,0,4.94,N-E,9,,,,,
17.03.2023,32.8,23.8,,,87.4,57.2,5,0,5.23,S-W,8,,,,,
18.03.2023,32.9,23,,,90.6,42.6,5,0,6.1,E,7.3,,,,,
19.03.2023,33.5,21.8,,,89,48.1,5.8,0,4.86,N-E,6,,,,,
20.03.2023,31.3,21.9,,,86.7,48.3,6,0,5.73,N-E,6.2,,,,,
21.03.2023,31.3,21.9,,,85.6,36.4,5.8,0,6.17,N-E,8,,,,,
22.03.2023,34.3,19.2,,,88.5,42.3,6.8,0,5.42,E,7,,,,,
23.03.2023,33.1,20.4,,,72.8,36.4,5.6,0,6.34,S-E,7.3,,,,,
24.03.2023,32.4,16.5,,,86.4,30.7,5,0,6.85,S-E,8,,,,,
25.03.2023,35.1,14.7,,,84.7,40.6,5.4,0,4.9,N-E,8.3,,,,,
26.03.2023,32.6,18.4,,,84.7,42.8,6,0,6.2,N-E,8,,,,,
27.03.2023,32.7,15.2,,,86.8,45.4,5.8,0,6.46,W,6,,,,,
28.03.2023,34.1,16.3,,,84.5,52.6,5.4,0,6.8,N-E,6.4,,,,,
29.03.2023,31.2,18.3,,,86.8,54.2,6,0,5.62,S-E,7,,,,,
30.03.2023,33.6,19.8,,,82.2,46.8,6,0,6.86,N-E,8.3,,,,,
31.03.2023,34.4,18.6,,,84.6,36.8,6.8,0,6.1,N-E,7.3,,,,,
01.04.2023,36,26,,,82,57,6,0,5.12,N-E,8.3,,,,,
02.04.2023,36,27,,,84,53,5.8,0,4.85,N-E,7,,,,,
03.04.2023,34,24.5,,,88,56,7.4,0,6.02,N-E,10,,,,,
04.04.2023,38,28,,,86,48,5.8,0,6.78,N-E,9.4,,,,,
05.04.2023,36,28,,,87,51,6,0,5.46,N-E,9,,,,,
06.04.2023,38.5,25,,,90,50,7,0,5.77,N-E,8.3,,,,,
07.04.2023,34.5,28.5,,,78,48,4.9,0,6.41,S-E,8,,,,,
08.04.2023,36,27,,,84,52,5.4,0,4.78,N-E,7.3,,,,,
09.04.2023,38,26,,,87,51,6,0,5.66,N-E,7.4,,,,,
10.04.2023,40,28,,,83,54,6,0,6.74,N-W,8.4,,,,,
11.04.2023,39.5,25,,,86,38,6,0,5.22,N-E,9,,,,,
12.04.2023,38,27,,,76,36,6.8,0,4.86,N-W,8,,,,,
13.04.2023,38,26,,,78,30,5.4,0,6.54,N-E,9,,,,,
14.04.2023,37.5,28.5,,,91,28,5.8,0,6,N-E,10.3,,,,,
15.04.2023,36,26.5,,,69,30,4.8,0,5.66,E,6,,,,,
16.04.2023,38.5,26,,,74,28,5,0,4.89,S-E,6.4,,,,,
17.04.2023,36,27,,,78,32,6,0,5.32,N-E,10.3,,,,,
18.04.2023,38,20,,,64,34,5.6,0,5.97,N-E,10,,,,,
19.04.2023,37,22,,,83,38,6,0,6.28,S-E,9.3,,,,,
20.04.2023,39,26,,,83,44,7.6,0,6,N-E,9,,,,,
21.04.2023,39.5,25.5,,,79,37,9.5,0,6.12,N-E,7,,,,,
22.04.2023,40,27,,,87,50,4,16,5.03,N-E,8.3,,,,,
23.04.2023,38,24,,,88,58,8,0,5.74,N-E,5,,,,,
24.04.2023,37.5,25,,,83,46,7,5.8,6.44,E,9,,,,,
25.04.2023,36,26.5,,,84,48,8,0,6.78,N-E,10,,,,,
26.04.2023,34,27,,,87,54,7,0,5.61,E,8,,,,,
27.04.2023,38,27,,,84,54,10,0,6.48,W,7,,,,,
28.04.2023,36,28,,,86,52,8.5,0,5.66,S-W,8.3,,,,,
29.04.2023,35,24,,,88,50,6,0,6.74,S-W,8,,,,,
30.04.2023,37,27,,,91,58,7.8,0,5.86,N-E,9.2,,,,,
01.05.2023,34,25,25,29,72,52,9,0,5.12,E,6,,,,,
02.05.2023,36,26,24.5,26,87,56,3.8,17,4.86,N-E,5.3,,,,,
03.05.2023,36,25,25,27,91,62,6,0,6.24,N-E,6.3,,,,,
04.05.2023,36,26,26,24,83,58,3,34,6.02,S-E,4.3,,,,,
05.05.2023,34,26,24,28,84,68,4.2,32.4,5.6,S-E,8.3,,,,,
06.05.2023,35,26,26,27,91,66,8,0,4.89,N-E,4.3,,,,,
07.05.2023,36,27,25,27,91,63,2.6,0,6.12,N-W,3.4,,,,,
08.05.2023,35,26,28,30,90,60,2.6,28,5.78,N-W,9.3,,,,,
09.05.2023,36.5,26.5,24,26,88,64,4,0,5.3,N-E,8.4,,,,,
10.05.2023,36,27,28,27,87,54,9.7,0,6.8,N-E,5,,,,,
11.05.2023,37,26.5,27,28,87,43,8.5,0,7.02,E,9,,,,,
12.05.2023,34,24,26,28,92,51,6.8,0,6.55,S-E,4,,,,,
13.05.2023,36,27,26,29,89,59,6.5,0,7,S-E,8.3,,,,,
14.05.2023,34,26,28,30,76,46,6,0,5.66,S-E,8,,,,,
15.05.2023,39,28,30,30,69,44,9.5,0,5.35,E,8.4,,,,,
16.05.2023,40,28.5,26,29,87,44,8,0,4.67,N-E,9.4,,,,,
17.05.2023,42,28,27,29,84,46,6,0,5.25,N-E,10,,,,,
18.05.2023,40,29,30,28,82,48,5.8,0,6.44,N,7,,,,,
19.05.2023,40,26,27,29,88,67,5,0,5.14,N-W,9.3,,,,,
20.05.2023,41,35,29,31,91,50,5,0,5,N-E,8.3,,,,,
21.05.2023,40,28,28,29,70,52,4.8,0,7.21,N-W,5,,,,,
22.05.2023,39,28,27,28,84,48,6,0,8.16,N-E,9,,,,,
23.05.2023,37,29,26,29,76,40,7.8,0,6.77,E,10,,,,,
24.05.2023,34,27,28,29,90,52,4.2,0,4.68,N-E,7.4,,,,,
25.05.2023,38,28,26,30,88,36,4,0,5.41,N-W,6.3,,,,,
26.05.2023,39,29,28,30,82,40,6,0,5.28,N-E,8.4,,,,,
27.05.2023,35,26,27,29.5,86,62,5.6,0,5.76,N-E,9,,,,,
28.05.2023,40,27,28,29,84,40,6.5,0,6.12,N-E,7.3,,,,,
29.05.2023,39,26,28,31,88,36,7,0,5.84,N-E,9.2,,,,,
30.05.2023,40,28,26,30,74,43,6.8,0,7.23,E,9,,,,,
31.05.2023,40,27,29,31,72,38,7,0,6.12,N-E,8.4,,,,,
01.06.2023,38,27.5,26,30,72,46,6,0,6.72,N-E,7,31,31.5,33,33,34
02.06.2023,40,29,28,30.5,79,62,5.8,0,5.23,N-E,6,30,30.5,31,31,31.5
03.06.2023,39,29.5,27,31,72,45,7,0,7.51,E,7.3,31,32,33.5,33,33
04.06.2023,40.5,30.5,38,30,78,40,6.5,0,7.01,N-E,5,31,32.5,33,34,34.5
05.06.2023,40,29,32,38.5,65,38,4,0,8.12,N-E,9,33,32.5,32,34,35
06.06.2023,39,29,28,30,85,53,5.5,0,7.35,N-E,10,30,32.5,33,33,34
07.06.2023,40,31,29,31,86,50,7,18,6.81,N-E,7.3,28,29,29,29.5,30
08.06.2023,40,30,39,32,76,48,5,0,7.4,S-E,8.15,32.5,33,34,34,34.5
09.06.2023,40,29,28,30,78,51,4.6,0,6.75,S-E,8,28,28,29,30,31
10.06.2023,39,28.5,29,32,83,47,6.8,0,8.18,S-E,5.2,29,29,29.5,30,31
11.06.2023,40,29,31,33,85,52,7,0,7.31,S-E,3,32,31,32,32,33
12.06.2023,40,27,29,30,74,49,5.8,36,16.22,E,8.3,29,28,29,29.5,30
13.06.2023,39,28,27,28.5,88,52,3,22,10.33,E,2.3,27,26,28,29,31
14.06.2023,38,29,28,31,76,36,4,0,6.85,N-E,5,29,30,30.5,32,32
15.06.2023,35.5,25,28,30,74,44,8.4,0,6.36,N-E,4.3,27,28,30,30,35
16.06.2023,38,31,27,30,70,51,7,0,7.47,N-E,8.4,29,30,31.5,33,34
17.06.2023,38.5,30,26,30,78,40,6.5,0,8.93,E,1.3,29.5,30.5,32,32.5,33
18.06.2023,37,30,26,28.5,83,37,4.8,0,6.77,N-E,2,28.5,30.5,30.5,32,33
19.06.2023,31.5,29.5,25.5,25,84,58,3,2.5,7.34,W,0,25,27,29,29.5,30
20.06.2023,28,28,25,30,96,62,0,54,6.12,S-E,0,26,26,26,27,27.5
21.06.2023,30,28,24,25,94,60,1.8,0,8.19,E,1,25,25,26,25.5,27
22.06.2023,32,28,23.5,28,78,51,1.8,3.5,5.39,N-E,3.3,26,27.5,27.5,27,27
23.06.2023,34.5,27,24.5,25,97,68,0,43,18.2,S-E,1.4,25,25,25.5,25.5,26
24.06.2023,34,26,24,24,86,50,2,0,6.12,W,4.3,25,25,25,25.5,27
25.06.2023,33,26,24,26,82,79,2,0,6.03,N-E,1.3,24,25,25.5,26,27
26.06.2023,30,28,25,27,80,53,1.8,0,8.53,N-E,3,27,27,27.5,29,29
27.06.2023,35.5,28.5,24,27,77,46,2.5,0,5.22,E,3,25,26,27,27.5,30
28.06.2023,35,28,24.5,29,72,37,4.7,0,6.74,S-E,9.2,30,29,29.5,30,31
29.06.2023,38,27,27,29,89,58,10.6,0,7.41,S-E,6,31,31,32,32.5,33
30.06.2023,36.5,30,25,30,74,44,8.7,0,8.19,S-E,8.3,30.5,30,31,31.5,32
01.07.2023,35,28,25,29,83,52,4.5,0,5.31,N-E,6,31,31.5,32,33,33.5
02.07.2023,38,27,27.5,30,77,48,7,0,6.58,N-E,9.3,26,27,27,27.5,28
03.07.2023,35,28,26.5,28,79,45,6,0,5.74,N-E,7,30,30,30.5,31,32
04.07.2023,35.5,30,25.5,30,72,39,6.5,0,6.11,N-E,4.3,28,29,30,30.5,31
05.07.2023,34,30,24,27,73,43,4.9,0,7.55,E,2,29,29.5,30,30.5,31
06.07.2023,33.5,30,25,28,74,44,6,0,6.24,N-E,3.5,30,30.5,30.5,31,32
07.07.2023,34.5,29.5,26,30,76,35,5.8,0,5.68,N-E,4,30,30,30,31,32
08.07.2023,34,29,25,26,84,54,8,0,5.35,N-E,5.3,30,30,31,32,32.5
09.07.2023,34,30,26,28,76,58,3,0,6.44,N-W,7,31,30.5,31.5,31,31.5
10.07.2023,35,29,26,27,87,60,6,3.9,6.28,W,6,25,26,28.5,29.5,30
11.07.2023,36,27.5,25.5,25.5,91,42,1.8,7.2,6,E,2,25,25.5,27,27,27.5
12.07.2023,32.5,28,24,25,87,60,4.3,0,5.86,N-E,4,25,25.5,27,27,28
13.07.2023,34,28,25,26,92,68,0,72,13.22,N-E,6.3,25,26,26,26,27
14.07.2023,33.5,28,25,26,90,62,0,43,9.12,S-E,6,26.5,26.5,27,27,28
15.07.2023,35,28.5,25,28,74,54,7.2,0,6.33,N-E,9,25,25.5,26.5,27,28
16.07.2023,36,29,25,27,84,40,8.6,0,6.45,S-E,6,27,27.5,28.5,29,30
17.07.2023,32.5,29,25,28,77,43,4,0,4.89,E,4.3,26.5,27,28,28,28
18.07.2023,35,29,24.5,28,78,43,5.8,0,6.55,S-E,4.3,28.5,29,29,29.5,30
19.07.2023,36.5,29,24.5,29,64,42,8.5,0,5.81,E,5,28,28.5,29,29.5,30
20.07.2023,34,29.5,25,30,61,40,6,0,6.18,N-E,3.3,29,27,28,28.5,29
21.07.2023,36,30,24,29,68,40,5,0,4.63,N-E,1.3,28,28,29,30,31
22.07.2023,35,29.5,36,27,79,51,5.7,0,6.22,N-E,2,30,30,30,31,32
23.07.2023,36,29,25,27,88,54,5.6,0,5.51,S-E,4,28,28,29.5,30,32
24.07.2023,33.5,28,25,26,86,53,4,0,6.42,E,10,27,27.5,27.5,28,30
25.07.2023,35.5,30,25,26,96,64,2.5,0,8.63,E,7,25,25,25.5,26,27
26.07.2023,31.5,29,24,25,91,60,4.5,9,7.33,N-E,9.3,25,25,25.5,25.5,27
27.07.2023,30.5,29,24,27,75,45,4,0,5.11,N-E,8.3,25,26,26.5,26.5,27
28.07.2023,33,29,25,27.5,80,47,4.7,0,5.22,N-E,9,25.5,25,26,26,27
29.07.2023,35,29.5,25,27,84,50,6,0,6.29,N-E,5,27.5,27,28,28,29
30.07.2023,35,30,29,28,72,58,6,0,6.14,N-E,6.3,28,28,29,29.5,30
31.07.2023,36,31,25,29,72,45,6.7,0,6.75,N-E,7.3,30,30,31,31,32
01.08.2023,36,31,25,29,72,40,3.5,0,6.23,N-E,7.3,30,30,30,31,31
02.08.2023,35,29,26,28,85,40,3,0,5.18,N-E,6,29,29.5,30,31,32
03.08.2023,36,30,26,28,85,41,4,0,8.63,N-E,6,29.5,30,30,30.5,32
04.08.2023,32,29,27,30,77,45,4.2,0,7.48,E,5.3,28,29,29.5,30,32
05.08.2023,36,30,25,28,76,38,5,0,5.65,N-E,5,27,28,28,29,20
06.08.2023,35,30,25,28,76,38,5,7,5.92,N-E,5.3,27.5,27.5,28,28.5,29
07.08.2023,37,31,29,30,92,57,5.8,0,9.32,S-E,7,31,31,32,32,33
08.08.2023,37,30,26,29,76,48,3.8,0,8.13,N-E,6,30.5,30.5,32,32,34
09.08.2023,36.5,29.5,26.5,30,80,45,5.4,0,6.92,N-E,7.3,30.5,31,31,32,33
10.08.2023,36,30,25.5,26,89,40,6,0,6.47,N-E,7,27,28,29.5,30,31
11.08.2023,35,29.5,25,27,92,46,2,9,6.39,N-E,6,26,26.5,26.5,27,29
12.08.2023,34,29,25,27,84,45,2.6,0,5.45,S-W,5,25,25,26,27,28.5
13.08.2023,35,29,25,26,92,56,3.O,7.5,5.68,S-E,8,21.5,21.5,22,22,22
14.08.2023,37,30,26,28,84,40,3.7,0,5.81,N-E,4.3,23,23,24,25,25.5
15.08.2023,34,30,25,28,76,50,3,25,11.79,S-E,5,25,25.5,26,27,29
16.08.2023,37,31,26,27,79,40,4.7,0,5.61,N-E,7,27,27,28,29,29.5
17.08.2023,36.5,30.5,26.5,28,88,43,4.5,0,5.03,N-E,6.3,27.5,28,29,30,31
18.08.2023,37,31,25,29,68,39,5,0,7.15,S-E,6,29,29.5,30,30.5,31
19.08.2023,35.5,31,25,28,84,56,2.1,0,7.08,N-E,4,28.5,29,30,30.5,31
20.08.2023,36,31,25,27,80,43,2.3,0,10.55,N-E,5.3,27,27.5,28,28,30
21.08.2023,37,30,24,21,75,40,3,0,8.24,E,4.3,30.5,31,31.5,32,33
22.08.2023,37,31,27.5,29,88,42,2.8,0,5.35,S-W,3,30.5,30.5,31,32,33
23.08.2023,34,29,29,25,74,40,5.8,4.3,9.73,N-E,7.3,24,25,26,27,29
24.08.2023,34,29,26,27,92,51,6,0,7.44,N-E,8.3,23,25.5,27.5,29,30
25.08.2023,33.5,28,25,26,90,50,3.2,12.5,5.39,S-E,5,28.5,29,29.5,30,32
26.08.2023,38,30,26.5,28,88,45,5,0,5.28,N-E,8,28,29,30,31,33
27.08.2023,37,29,25,26,84,48,5,0,6,N-E,8,26,27,28,29,31
28.08.2023,36.5,29,27,28,92,50,2,37,7.33,S-E,8.3,27,27,28,28,29
29.08.2023,36,30.5,26,27,78,46,2.8,0,6.65,N-E,7,26.5,27,28,28,29
30.08.2023,35,31,26,27,86,43,3.6,0,5.89,E,7.3,26,26,27,28,29
31.08.2023,35,30,24,25,91,48,2.7,0,7.13,N-E,6.3,25,25,27,27.5,29
01.09.2023,35,30,24,26,87,43,3,7,8.25,N-E,3.3,26,26,26,27,28
02.09.2023,35,31,25,27,80,41,3.8,0,8.19,N-E,"5.30",27,27,28,29,30
03.09.2023,34,31,26,28,79,38,5.6,0,6.25,S-E,6,25,25,26,27,29
04.09.2023,34,30,25,27,89,47,2.8,8.6,7.35,N-E,4.3,26,26,28,28,29
05.09.2023,31,29,24,27,79,45,2,7,9.16,N-E,1.3,25,25,26,26,27
06.09.2023,31,30,26,27,88,45,3,0,7.23,N-E,3,25,25,25,26,27
07.09.2023,34,30,25,28,84,38,5,3,8.73,S-E,4,27,27,27,28,29
08.09.2023,34,31,25,27,84,40,2.5,52,7.27,N-E,6,27,27,27,27,29
09.09.2023,35,30,27,29,76,38,5.6,0,8.36,N-E,6.3,28,28.5,29,29,30
10.09.2023,35,30,26,30,79,41,6,0,6.47,S-E,5,26,26,27,27.5,29
11.09.2023,36,29,26,28,84,40,3.5,0,6.24,N-E,2,28,28,29,30,30
12.09.2023,36,30,27,29,79,40,4.5,0,8.45,S-E,5,29,29,29,30,31
13.09.2023,36,30,26,29,80,43,5,0,7.13,N-E,6,29,29,29,30,31
14.09.2023,35,31,25,27,78,38,4,0,5.36,S-E,7,28,29,30,31,32
15.09.2023,35,30,27,29,79,42,3,0,6.28,N-E,7.3,27,27,28,29,30
16.09.2023,36,30,29,30,87,40,6,0,7.13,E,6,29,30,31,31,32
17.09.2023,35,31,24,26,80,40,5,5,8.29,N-E,5,23,24,24,26,27
18.09.2023,37,30,29,31,75,42,6,8,7.46,S-E,7.3,29,29,29,30,31
19.09.2023,35,30,25,27,90,41,4.8,0,6.45,N-W,4.3,26,26,27,27,28
20.09.2023,35,31,26,28,88,44,5,0,7.43,N-E,7.3,26,26,27,28,29
21.09.2023,34,28,25,26,92,48,4.8,6.5,8.73,S-E,7,26,26,27,27,29
22.09.2023,32,30,25,27,87,44,3.5,0,7.26,S-E,2,26,26.5,27,28,29
23.09.2023,35,29,25,27,89,38,6.5,0,5.68,N-E,6,27,27,28,29,30
24.09.2023,36,30,24,26,95,45,-,95,7.25,S-E,7.3,27,27,27,27,29
25.09.2023,36,30,23,27,95,50,-,115,6.18,S-E,6,27,27,27,28,28.5
26.09.2023,34,29,25,27,90,49,3,64,8.27,S-E,6.3,25,26,26,27,28
27.09.2023,34,29,24,26,92,48,4.5,39,5.96,N-E,7,26,26,27,27,29
28.09.2023,34,30,25,26,90,45,4.5,52,6.31,S-E,7,25,25,26,26.5,28
29.09.2023,35,29,25,27,88,41,5.3,9,6.34,N-E,8,25,26,26,26,27
30.09.2023,33,28,24,26,85,42,4.5,0,5.68,S-E,6,26,25,27,27.5,29
01.10.2023,34,29,23,26,79,37,5,0,5.27,N-E,8.3,26,26.5,27,28,29.5
02.10.2023,33,28,24,27,78,38,4.8,0,5.07,S-W,8,26,27,27,27.5,29
