Date,Temperature °C,,,,Relative Humidity (%),,Evaporation (mm),Rainfall (mm),Wind speed (Km/hr),Wind direction,Sun shine (hr/day,,,,,
03.10.2023,34,28,24,27,85,40,9.5,0,7.28,S-E,8,26,26,28,29,30
04.10.2023,36,29,26,27,88,43,7,0,8.31,N-E,9,27,28,29,29,30
05.10.2023,35,27,23,26,80,48,6,0,7.23,N-E,5.3,26.5,27,28,29,30
06.10.2023,34,29,24,27,85,44,5,3,6.86,S-E,6.3,28,29,30,30,31
07.10.2023,33,28,25,28,82,44,4,0,5.13,N-E,7,26,26.5,26.5,27,28.5
08.10.2023,34,29,24,27,79,39,4.3,0,5.74,N-E,6.3,27,28,28.5,29,30
09.10.2023,34,30,26,27,86,45,4,7,6.29,N-E,5.3,29,30,30,31,32
10.10.2023,35,28,25,28,78,45,4.5,0,6.38,N-E,6,29,30,30.5,31,32
11.10.2023,35,28,24,26,89,46,4.7,23,7.58,S-E,7.3,27.5,28,28.5,29.5,31
12.10.2023,34,27,25,28,84,40,5,0,5.46,S-W,8.3,26.5,27,28,28.5,30
13.10.2023,33,27,24,26,88,40,3,0,5.72,S-E,7.3,25.5,26,27,28,29.5
14.10.2023,33,26,25,27,80,45,5,0,4.17,N-E,6,27,27.5,28.5,29.5,30
15.10.2023,32,27,25,28,78,42,6,0,4.63,N-E,6.3,26,27,28,28.5,29.5
16.10.2023,33,27,25.5,27,87,45,4.8,0,6.83,N-E,7,27,28,29.5,30,31
17.10.2023,33,26,24.5,27,80,40,4.5,0,5.18,S-E,6.3,27.5,28,29,30,31
18.10.2023,33.5,26,22,25,78,48,4,0,5.08,N-E,7,25.5,27,28,29,30.5
19.10.2023,33.5,25.5,21.5,24,80,43,4.5,0,5.37,N-E,8,25,26,27.5,28.5,30
20.10.2023,34,25,23,25,78,45,3.8,0,6.81,N-E,7,26,27.5,28,29,30
21.10.2023,33,24,23,26,76,40,4.5,0,4.57,S-E,8.3,27,28,28.5,29.5,30.5
22.10.2023,34,25,22,26,76,40,5,0,4.23,N-E,7.3,26.5,27,28,29,30
23.10.2023,32,23,24,27,84,38,4,0,5.88,N-E,6,27,27.5,28.5,29.5,30.5
24.10.2023,33,26,23,25,80,46,4,0,5.42,N-E,7,26,27,28,28.5,29
25.10.2023,33,25,23,26,82,46,4.3,0,4.19,N-E,8.3,25,25.5,26,27,28.5
26.10.2023,34,27,23,26,86,45,3.5,0,4.62,S-E,8,28,28.5,29.5,30,31
27.10.2023,33,24,23,25,90,40,4,0,4.97,N-E,7,26,27,29,29.5,30
28.10.2023,32,23,24,27,86,41,4.5,0,3.62,N-E,6.3,27.5,28.5,29,30,31
29.10.2023,34,24,24,26,92,40,5,0,5.1,N-E,7,28,27,27.5,26,30
30.10.2023,33,24,24,26,92,40,4.5,5,4.92,S-E,6,26,27,28.5,29,30
31.10.2023,31,23,24,25,91,46,3,6,4.38,N-E,5.3,25,25,25.5,26,27
01.11.2023,31,23,24,25,90,64,3,6,4.38,N-E,5.3,25,25,25.5,26,27
02.11.2023,33,25,24,27,77,58,4,0,5.71,N-E,6,25,25.5,26,27,29
03.11.2023,32,24,24,25,90,66,3.5,0,4.16,N-E,5,25,25.5,26,27,29
04.11.2023,32,25,25,26,92,67,3,18,4.62,S-E,4.3,27,27,27.5,28,28
05.11.2023,31,24,24,25,92,62,2.3,74,4.68,S-E,5,25,25,25.5,26,27
06.11.2023,32,25,24,25,92,62,3.5,18,5.63,N-E,7.3,25.5,25.5,26,26,27
07.11.2023,32,24,25,24,90,70,4.3,0,5.21,N-E,7,25,25,25.5,26,27
08.11.2023,34,26,23,25,86,70,4,0,5.37,N-E,8,28,28,29,30,31
09.11.2023,33,25,24,26,90,70,3,0,4.25,N-W,7.3,25.5,25.5,27,27.5,28.5
10.11.2023,32,26,23,25,90,68,4,0,5.61,N-E,8,23,23.5,23.5,24,25
11.11.2023,31,26,23,25,90,62,3.8,0,5.23,N-E,7,25,25,25.5,26,27
12.11.2023,32,25,24,25,90,68,4.3,0,5.86,N-E,6,26,26,26.5,27,28
13.11.2023,32,26,24,25,90,68,4.2,0,5.26,S-E,7.3,23,23,24,24.5,26
14.11.2023,32,23,24,25,92,72,2.5,4,4.31,N-E,5,25,26,27,27,28
15.11.2023,32,23,24,27,80,40,5,0,4.43,N-E,6,25,25.5,26,26,27
16.11.2023,29,23,22,24,83,56,3,0,4.26,S-E,2,23,24.5,24.5,25,26
17.11.2023,32,24,24,24,91,68,4,0,5.68,N-E,6,23.5,24.5,25,25.5,27
18.11.2023,33,25,23,28,82,47,3.5,0,4.73,N-E,5,26,27,27.5,28,29
19.11.2023,33,24,26,24,88,51,3.8,0,4.14,N-E,9,25,25.5,25.5,26,27
20.11.2023,34,24,24,26,89,51,4.3,0,4.81,N-E,9,25,25,25.5,26,28
21.11.2023,33,26,24,27,85,56,4,0,4.28,N-E,7.3,26,26.5,27,27,28
22.11.2023,31,24,25,24,90,59,2.8,4.7,4.68,S-W,3.3,26,26,27,27.5,28
23.11.2023,31,23,23,25,86,60,4.2,0,4.31,N-E,5,25,25,25.5,26,27
24.11.2023,30,24,24,25,91,54,4,0,5.03,N-E,6,24,24.5,25,26,27
25.11.2023,30,25,24,26,90,52,4,0,5.07,N-E,4,23,24,24.5,25.5,26
26.11.2023,31,24,24,25,91,56,5,0,5.63,S-E,7,24,24,25,26,27
27.11.2023,31,23,24,25,91,56,3,23,4.81,N-E,6.3,25,24,24,25,26
28.11.2023,30,23,24,24,90,60,3.5,18,4.83,S-E,3,24,24,24.5,24.5,25.5
29.11.2023,31,23,23,25,91,58,4,5,5.14,N-E,6,25.5,25.5,26,27,28
30.11.2023,30,23,23,24,91,52,4,0,4.42,N-W,7,24,24,24.5,25,25.5
01.12.2023,31,23,24,25,90,64,5.2,6,4.38,N-E,5.3,25,25,25.5,26,27
02.12.2023,29,21,24,26,89,65,4.8,-,4.25,N-E,8,24,24,24.5,25,25.5
03.12.2023,30,21,25,24,90,61,4.6,-,4.6,E,5.3,24,24,24.5,24.5,26
04.12.2023,31,22,23,25,86,60,4,-,5.43,N-E,5.5,23,24,24.5,24.5,25
05.12.2023,30,22,26,24,88,63,3.8,-,3.36,N-E,6,25,25.5,26,27,28
06.12.2023,30,22,24,26,89,64,5.4,-,4.1,N-E,6.3,25,25,25.5,26,27
07.12.2023,29,21,23,25,86,50,4.4,-,4.93,N-E,6,26,26,27,27.5,28
08.12.2023,30,20,25,28,82,62,4,-,4.45,N-E,5.4,23,24,24.5,25,26
09.12.2023,29,20,23,25,86,54,3.8,-,5.28,S-W,7,23,25,26,26,27
10.12.2023,29,21,24,25,90,58,4.8,-,4.74,S,8.3,25,25,26,26,27
11.12.2023,28,21,24,25,90,56,5,-,4.8,S-E,8.5,24,24.5,25,25,27
12.12.2023,28,21,24,26,90,69,5,-,5.2,N-E,7,23,23.5,24,24,26
13.12.2023,27,21,24,26,89,62,5.6,-,4.56,N-E,9,25,26,26.5,27,28
14.12.2023,27,22,24,25,90,63,4.8,-,4.62,N-W,5.4,23,23.5,24,25,27
15.12.2023,29,20,24,26,89,60,4.2,-,4.3,S-E,8.3,23,24,24.5,25,26
16.12.2023,29,18,24,25,90,47,3.6,-,6.02,S-E,6.2,24,24,24,25,26
17.12.2023,30,19,24,26,89,51,3.8,-,3.76,N,6,23,24,24.5,25,26
18.12.2023,30,18,23,26,88,66,4,-,5.86,S-W,5.2,23,24,24,25,26
19.12.2023,29,18,26,24,88,59,4,-,4.65,S-E,5,25,25.5,26,27,29
20.12.2023,29,19,24,26,89,65,3.8,-,5.34,S-E,6.1,25,25.5,26,26,28
21.12.2023,29,19,24,26,88,65,3.2,-,5.44,S-E,6,24,24.5,24.5,25,26
22.12.2023,29,18,24,27,85,58,5,-,3.86,S-E,8,24,24,25,26,28
23.12.2023,29,18,23,25,90,46,4.2,-,4.88,N-E,7.2,23,24.5,25,25.5,27
24.12.2023,30,18,25,28,84,63,6.4,-,5.18,N-W,8,26,27,27.5,28,29
25.12.2023,30,19,24,26,89,57,4,-,4.09,N-E,5.3,25,26,26.5,27,28
26.12.2023,28,22,23,25,86,54,5.6,-,5.57,N-E,6.2,26,26.5,27.5,28,29
27.12.2023,29,21,23,25,90,53,3.4,-,3.26,N-E,6,23,24,24.5,25.5,27
28.12.2023,29,20,23,25,90,52,4.7,-,5.73,N-W,5.4,25,26,27,27.5,29
29.12.2023,30,23,23,25,90,54,4,-,5.61,N-E,6.3,24,24,25,26,27
30.12.2023,31,20,24,27,80,45,3.8,-,4.21,E,6,23,23,24.5,25,26
31.12.2023,31,21,24,27,85,46,4.2,-,4.33,N-E,7,24,24,25,26,28
01.01.2024,31,23,24,25,90,64,3,-,4.38,N-E,5.3,24,25,25.5,26,27
02.01.2024,29,22,23,25,86,58,3.5,-,5.61,N-E,6,23,23,23,24,25
03.01.2024,28,21,26,24,88,55,4.6,-,5.83,N-E,6.3,25,26,27,27.5,28.5
04.01.2024,31,23,22,23,89,65,4,-,4.8,N-W,6,24,25,26,27,27
05.01.2024,28,19,26,24,88,55,3,-,4.96,N-W,4,23,23,23.5,24,25
06.01.2024,29,18,25,24,90,58,3.8,-,6.52,N-W,4.2,23,23,24,24.5,26
07.01.2024,28,18,24,26,89,55,3.5,-,4.06,N-E,4,22,23,23,24,25.5
08.01.2024,29,19,24,26,89,57,4.2,-,4.31,S-E,5,22,22.5,23.5,25,26
09.01.2024,30,22,23,25,86,51,4.5,-,4.85,N-W,5.3,23,24,24.5,25,27
10.01.2024,29.5,19,25,24,90,60,4.5,-,4.93,N-W,5.2,24,24.5,24.5,25,26
11.01.2024,30,23,22,23,86,55,5,-,5.6,N-W,6,22,23,23.5,24,25
12.01.2024,28,18,26,24,89,50,5.4,-,3.97,S-E,7,23,24,25,25.5,26
13.01.2024,29,21,24,26,89,56,4.6,-,4.6,S-W,7.4,24,24,25,26,27
14.01.2024,29,20,26,23,91,52,5.3,-,4.32,W,7.4,22,23,23,24,26
15.01.2024,29,17,26,24,88,58,2.8,-,4.52,N-W,4.2,24,24.5,24.5,25,26
16.01.2024,30,22,23,25,86,58,5,-,4.92,N-W,8,22,22,23,24,25
17.01.2024,29,21,23,24,89,56,2.8,-,6.23,N-E,5,23,23.5,24,25,26
18.01.2024,28,18,22,23,86,51,3,-,6.8,N-W,6,22,23,23,24,25
19.01.2024,30,22,24,26,89,62,3.5,-,5.52,N-W,6.3,23,24,24.5,25.5,26
20.01.2024,29,20,24,26,89,60,3.7,-,4.99,N-W,6.3,23,23,24,25,26
21.01.2024,31,21,26,24,88,55,5.2,-,5,N-W,8.3,22,23,24,25,27
22.01.2024,28,19,26,24,88,52,3.6,-,4.66,N-W,6.1,23,24,25,25.5,26
23.01.2024,29,20,25,24,90,49,3.5,-,5.21,S-W,6,23.5,24.5,25,25,27
24.01.2024,29,18,22,23,86,50,4,-,5.3,S-W,5.4,25,25.5,26,27,28
25.01.2024,29,19,24,25,90,52,4.7,-,6.47,N-E,7,22,23,23,24.5,26
26.01.2024,29,20,25,24,90,56,3.5,-,4.88,N-E,7,24,24.5,25,26,27
27.01.2024,31,22,25,24,90,54,4,-,4.63,S-E,8.3,23,24.5,26,26.5,27
28.01.2024,30,21,25,24,90,55,4.5,-,4.24,N-W,8,26,26,27,28,29
29.01.2024,32,23,22.5,24,87,53,5,-,5.28,N-W,9,24,26,27,27.5,28
30.01.2024,28,19,25,24,90,52,3.5,-,5.86,N-W,6.3,24,24,24.5,25,25.5
31.01.2024,29,18,24,26,89,54,3,-,5.62,N-W,6,23,23.5,24,25,27
01.02.2024,32,23,24,25,90,52,4,-,5.13,N-W,6,21,22,24,24.5,26
02.02.2024,32,23,22.5,24,89,47,4.5,-,5.04,N-W,7,24,26,27,27,28
03.02.2024,32.5,23,24,25,90,45,3.8,-,4.61,N-W,5.3,25.5,26,27,27.5,28
04.02.2024,32,22,22,24,89,40,5,-,4.26,S-E,8.3,25.5,26,26.5,27,28
05.02.2024,32,23,21,22,91,38,6.5,-,5.32,N-E,9,24,25,26,28,28
06.02.2024,34,23,19,20,90,39,6.8,-,4.24,N-E,8.3,27,28,30,31,33
07.02.2024,30,22,18,21,80,39,4.6,-,3.49,N-E,7,25,25,26,28,30
08.02.2024,34,23,18,21,80,43,5.2,-,4.56,N-E,8,21,23,25,26,28
09.02.2024,34,24,22,20,82,40,6,-,5.13,N-E,7,24,25,26,28,29
10.02.2024,34,22,19,21,81,46,5,-,4.37,E,6,27,27,28,29,32
11.02.2024,32,26,23,24,91,47,4.8,-,5,N-W,7,25.5,26,27,27,29
12.02.2024,32,23,20,22,81,40,5,-,3.66,N-W,7.3,23,24,25,26,28
13.02.2024,31,21,20,21,91,39,6,-,4.73,N-E,8,29,29,30,32,34
14.02.2024,32,21,23,24,91,38,6,-,5.78,N-E,8.4,26,27,29,29,31
15.02.2024,33,24,20,22,81,43,6.5,-,4.31,N-W,8.3,26,27,27,29,30
16.02.2024,31,22,19,21,86,41,5.5,-,6.83,N-E,6,24,24,26,26,28
17.02.2024,34,21,21,24,82,40,5,-,7.93,S-E,6.3,26,27,27,28,30
18.02.2024,34,23,21,22,91,42,5,-,7.16,S-E,8,26,27,29,30,32
19.02.2024,32,22,19,22,86,36,4.5,-,4.89,N-E,9,25,26,27,28,31
20.02.2024,31,20,20,23,88,38,5.5,-,5.16,N-E,7,28,28,29,29,32
21.02.2024,31,21,20,23,88,38,4,-,5.26,N-E,7,27,27,29,30,33
22.02.2024,34,25,22,24,82,42,5,-,4.33,N-E,8,25,26,27,27,30
23.02.2024,34,26,25,26,92,44,6,-,4,N-W,7.3,22,23,24,25,26
24.02.2024,35,24,23,24,91,48,4.7,-,5.44,N-W,6,29,29,30,30,32
25.02.2024,34,25,24,25,90,51,3.6,-,4.87,N-W,4,27,27,28,29,30
26.02.2024,33,24,23,24,91,41,5,-,5.6,N-W,7.3,25.5,26,28,28,29
27.02.2024,33,25,22,24,82,41,6,-,5.11,N-E,8.2,26,26,27,29,31
28.02.2024,33,24,22,23,91,45,5.2,-,6.33,W,7.4,27,28,29,31,34
29.02.2024,35,22,23,21,83,42,6,-,6.25,N-E,8,25,26,28,30,33
01.03.2024,34,21,22,23,91,46,4.7,-,6.28,N-E,9,24,26,27,27,30
02.03.2024,34,24,20,21,91,42,4.2,-,6.93,N-E,8,23,25,27,28,30
03.03.2024,35,23,21,23,82,40,4.5,-,5.35,N-W,9,24,25,26,28,31
04.03.2024,35,20,21,22,91,45,5,-,5.88,N-W,9.3,23,25,27,27,30
05.03.2024,36,21,22,23,88,39,4.6,-,5.81,N-E,8,25,26,27,28,30
06.03.2024,37,21,20,22,81,44,4.5,-,5.64,S-E,9,26,27,29,30,31
07.03.2024,36,20,21,23,78,45,3.8,-,6.73,S-E,8,24,25,27,28,30
08.03.2024,37,20,21,22,91,47,3.8,-,6.1,N-E,8,24,25,27,28,29
09.03.2024,37,20,20,22,81,41,4,-,6.24,N-E,9,25,26,28,29,31
10.03.2024,37,20,22,20,82,40,4,-,7.8,S-E,8.3,28,29,30,32,32
11.03.2024,36,21,24,25,91,47,4.2,-,7.62,N-E,9,27,28,29,31,32
12.03.2024,36,22,24,26,88,45,4.7,-,6.83,N-E,9.3,28,29,30,32,33
13.03.2024,37,23,24,25,91,49,4.8,-,5.26,N-E,9,29,30,31,33,35
14.03.2024,37,21,22,25,87,46,5,-,5.63,S-E,10,25,26,28,30,31
15.03.2024,38,22,24,25,91,46,3.9,-,8.12,N-W,7,27,28,30,31,33
16.03.2024,36,23,24,23,91,46,4.6,-,5.06,N-W,9.3,28,30,31,31,33
17.03.2024,36,23,25,27,84,43,4.3,-,6.75,N-W,9,29,30,31,32,32
18.03.2024,35,21,22,23,87,45,4,-,6.22,N-W,8,24,26,29,31,33
19.03.2024,36,23,23,24,84,45,4.3,-,5.76,N-E,9.3,28,29,30,32,33
20.03.2024,37,24,23,25,86,45,5,-,6.05,S-E,10,27,28,29,31,32
21.03.2024,36,22,24,25,90,45,4.8,-,5.9,N-W,9,27,28,29,31,32
22.03.2024,35,22,25,27,90,48,3.8,-,5.26,N-E,9,30,30,31,32,33
23.03.2024,37,24,25,27,90,48,4,-,6.22,S-E,9,30,30,31,32,34
24.03.2024,37,24,24,27,90,47,4,-,8.38,N-E,9,31,31,33,34,36
25.03.2024,38,25,24,26,88,48,4,-,5.92,N-E,9.3,31,31,32,33,35
26.03.2024,39,25,23,25,86,45,4,-,6.46,N-E,9,31,32,33,34,36
27.03.2024,38,24,23,26,90,42,4.5,-,5.9,N-E,8.3,30,30,31,33,35
28.03.2024,37,21,25,27,87,40,4.2,-,5,S-E,8.3,28,29,30,32,34
29.03.2024,37,21,25,27,88,40,4,-,7.88,S-E,9,28,28,30,31,31
30.03.2024,37,22,24,27,90,40,4,-,6.53,N-E,9,30,3,31,32,33
31.03.2024,38,20,23,26,89,40,3.8,-,5.85,S-E,8,27,29,31,33,34
01.04.2024,38,24,23,26,80,42,5.3,-,6.18,S-E,9,27,29,31,33,34
02.04.2024,39,25,23,25,83,45,5.5,-,5.63,S-E,9,27,27,29,29.5,32
03.04.2024,40,27,24,25,91,47,6,-,5.4,S-E,9.3,30,31,31,33,35
04.04.2024,38,22,25,27,84,42,4.8,-,7.62,N-E,9,28,30,31,32,34
05.04.2024,39,21,24,25.5,87,44,5,-,6.48,S-E,9,27,29,30,31,33
06.04.2024,37,25,24.5,26,88,41,4.7,-,6.05,N-E,8,27,27,29,30,34
07.04.2024,40,24,23,25,84,45,6.4,-,5.9,N-E,9.3,27,29,30,31,33
08.04.2024,40,24,24,25,92,48,6.2,-,6.55,S-E,9,28,29,30,31,34
09.04.2024,39,25,24,25,92,47,4.5,-,5.91,S-E,8,24,26,29,31,33
10.04.2024,42,26,24,25,92,40,6,-,8.12,S-E,8.3,28,29,30,32,33
11.04.2024,40,25,23,24,91,47,5.6,-,4.75,N-E,9,27,27,28,29,32
12.04.2024,37,25,24.5,26,88,52,4.9,-,6.43,N-W,8,31,31,33,33,34
13.04.2024,37,24,24.5,26,88,50,4.6,-,5.95,S-E,8.3,29,30,31,32,34
14.04.2024,37,24,27,29,84,43,4.6,-,7.62,N-W,8,31,30,31,32,34
15.04.2024,42,24,23.5,25,87,40,6,-,6.88,N-E,10,27,28,30,32,34
16.04.2024,37,22,24,25,90,47,4.5,-,5.84,N-E,9,27,28,29,31,32
17.04.2024,37,23,24,25,90,45,4.4,-,5.22,N-E,9,28,29,30,32,33
18.04.2024,39,24,25,27,84,40,4.3,-,7.25,N-E,9,29,30,31,33,35
19.04.2024,40,25,23,25,83,38,5.2,-,6.86,S-E,9,27,28,29,31,32
20.04.2024,40,27,23.5,25,80,44,5.6,-,8.53,N-W,10,29,31,33,34,36
21.04.2024,40,27,27,28,77,38,5.8,-,7.21,S-E,9.3,30,31,33,34,35
22.04.2024,39,25,23,25,84,39,6.1,-,5.64,S-E,10,28,30,31,33,35
23.04.2024,38,22,24,25,91,54,4,-,6,S-E,9,30,30,32,35,36
24.04.2024,39,23,24,25.5,92,51,4,-,6.97,N-E,9,28,28,29,31,33
25.04.2024,40,23,23.5,27,81,42,4.1,-,6.73,S-E,9,31,31,32,33,35
26.04.2024,38,27,25,27,84,40,4,-,5.09,S-W,9,29,31,32,34,35
27.04.2024,39,21,24.5,26,88,37,3.9,-,6.24,N-E,8.3,28,31,31,32,34
28.04.2024,40,21,24.5,27,81,39,5.4,-,4.97,S-E,9.3,30,31,31,32,34
29.04.2024,40,22,25.5,27,88,40,5.5,-,4.83,N-E,9,30,31,32,32,35
30.04.2024,38,23,23.5,25,88,43,4,-,5.22,N-E,8,28,29,29,31,32
01.05.2024,41,26,24,26,84,45,5.8,-,5.83,N-E,8.3,27,27,28,30,33
03.05.2024,42,25,23,25,83,39,7,-,6.01,N-E,10,30,30,31,33,35
05.05.2024,42,22,23.5,25,88,37,6.5,-,6.88,N-E,9,28,28,30,31,33
07.05.2024,41,23,24,26,84,39,5.2,-,5.83,N-E,8,29,29,29.5,31,33
09.05.2024,41,25,26,27,92,46,5.8,-,5.44,N-W,9.3,27,27,28,29,30
11.05.2024,38,27,25,26,92,48,5,-,7.69,N-W,8.3,31,32,34,34,35
13.05.2024,38,25,26,28,85,38,4,-,5.89,N-E,8.4,30,30,31,33,34
15.05.2024,38,25,25.5,27,88,40,4.5,-,6.3,S-W,6,30,30,31,33,35
17.05.2024,38,21,24,26,84,39,4.7,-,4.88,N,6,28,28,30,31,34
19.05.2024,37,25,22,24,83,37,6,-,8.16,S-W,5.4,26,26,28,31,34
21.05.2024,38,27,24,25,91,47,6.2,-,6.55,N-E,9,29,29.5,30,31,34
23.05.2024,38,27,25,27,84,42,4.5,-,7.32,N-E,9,32,32,33,33,35
25.05.2024,41,25,25,26,92,44,4.6,16,9.13,S-W,8,26,26,26,28,31
26.05.2024,38,29,25,27,84,41,5,-,7.95,N-E,5,26,27,28,29,33
27.05.2024,39,27,24,25,92,45,3.8,-,6.25,N-E,8,32,32,33,34,35
28.05.2024,38,29,23.5,26,80,38,5,-,7,S-W,7,26,26,28,29,31
29.05.2024,39,28,26,27,92,42,4,-,6.85,N-E,8,27,28,29,31,24
30.05.2024,40,24,24.5,26,88,39,4.5.,-,9.15,N-E,8.3,29,29,31,32,34
31.05.2024,39,25,24,26,84,38,5,-,8.11,S-W,8,28,28,28,31,33
01.06.2024,41,29,23,25,84,43,6,9,7.42,N-E,8.3,31,32,33,33,34
02.06.2024,41,26,25,26,92,47,2,28,6.08,N-E,9,26,26,27,27,30
03.06.2024,40,25,24,26,84,44,4,15,8.62,N-E,7,26,27,28,29,33
04.06.2024,37,24,27,29,85,49,4.6,-,7.62,N-W,8,31,30,31,32,34
05.06.2024,39,23,25,26,92,53,3.9,-,6.24,N-E,8.3,28,31,31,32,34
06.06.2024,37,27,25,26,92,50,2.5,16.5,5.33,S-W,4,27,28,28,29,29
07.06.2024,34,23,24.5,26,88,51,4,12,6.73,N-E,3,27,27,27,28,29
08.06.2024,34,25,24,26,84,48,4,-,8.52,S-E,4,27,27,28,29,31
09.06.2024,35,25,25,27,84,49,2,-,5.03,N-E,7,28,28,29,30,33
10.06.2024,36,26,24,26,84,49,3,8,8.3,N-E,5,28,28,28,31,31
11.06.2024,37,27,25,24,91,54,4.6,-,4.15,N-E,6.3,30,32,32,33,35
12.06.2024,36,28,23.5,25,88,46,2.5,-,5.52,S-E,5.3,30,31,31,32,33
13.06.2024,41,24,25,26,92,53,5.4,27,7.12,N-E,9.3,29,29,30,32,33
14.06.2024,37,27,23.5,25,88,45,6.2,-,6.11,S-W,9,28,29,30,30,32
15.06.2024,38,23,25,27,84,46,4.8,-,7.62,N-E,9,28,30,31,32,34
16.06.2024,37,27,24.5,26,88,47,4,-,5.8,N-E,6.3,31,33,33,34,35
17.06.2024,38,27,24.5,26,88,45,5,-,4.69,N-W,8.3,27,27,29,31,33
18.06.2024,41,24,23.5,25,88,48,5,-,7.12,N-E,9.3,29,29,30,32,33
19.06.2024,39,23,24,26,84,46,4.7,5.9,6.05,S-W,8.3,28,29,30,33,35
20.06.2024,37,25,23,25,84,49,4.3,12,7.22,N-E,8,26,27,27,28,30
21.06.2024,36,26,24,26,84,47,3,-,5.07,N-E,7.3,26,26,26,27,29
22.06.2024,36,26,25,26,92,50,3.7,15,6.41,S-E,8.3,28,29,29,29,29
23.06.2024,35,27,23.5,25,88,46,3.2,-,6.93,S-E,7,27,27,28,29,30
24.06.2024,37,27,25,27,84,45,4,--,5.84,N-E,8,25,26,26,28,30
25.06.2024,37,26,26,28,85,48,6,-,4.52,W,5.3,26,26,28,31,34
26.06.2024,35,27,26,28,85,49,5.3,-,5.78,N-E,7.3,26,26,28,29,31
27.06.2024,36,23,25,27,84,47,4.5,-,4.55,S-W,6.4,27,28,29,31,32
28.06.2024,37,24,24.5,27,88,46,4,-,6.13,N-E,7,27,27,28,29,30
29.06.2024,39,26,23.5,26,80,45,5.7,-,5.69,N-E,8.3,29,29,29.5,31,33
30.06.2024,38,25,25,27,84,51,5.5,-,6.11,N-E,9,28,28,29,32,35